		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.240234	M = 131	N = 8	m = 9	n = 1050
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100101000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  77
100110000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  78
100111000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  79
101000000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  80
101000100    0    0    0    0    0    0    0    1  3.966751 0.860111 SUCCESS  81
101001000    0    1    0    0    2    0    0    2 28.538330 0.000382 FAILURE  82
101001100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  83
101010000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  84
101010100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  85
101011000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  86
101011100    0    0    1    0    0    0    0    0  3.966751 0.860111 SUCCESS  87
101100000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  88
101100100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  89
101101000    0    0    0    1    1    1    0    1 10.267561 0.246747 SUCCESS  90
101101100    0    0    0    0    0    0    2    1 16.252541 0.038905 SUCCESS  91
101110000    0    1    0    0    0    0    0    0  3.966751 0.860111 SUCCESS  92
101110100    1    0    0    0    1    0    0    0  6.067021 0.639725 SUCCESS  93
101111000    0    0    0    0    0    0    1    0  3.966751 0.860111 SUCCESS  94
101111100    2    0    0    0    0    0    0    0 14.152271 0.077882 SUCCESS  95
110000000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  96
110000010    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  97
110000100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  98
110001000    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS  99
110001010    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 100
110010000    0    0    0    0    1    0    0    0  3.966751 0.860111 SUCCESS 101
110010010    1    1    1    0    0    0    2    0 20.453080 0.008751 FAILURE 102
110010100    0    0    0    0    0    0    0    0  1.866482 0.984835 SUCCESS 103
